Transaction_Date,Transaction_Time,Core_Reference_Number,Partner_Reference_Number,Channel_Reference_Number,Transaction_Type,Transaction_Type_Description,Transaction_result,Account_Name,Account_Number,Currency,Debit_Credit,Commission,Transaction_Amount,Counterparty_Account_Name,Counterparty_Account_Number,Debit_Account_Number,Credit_Account_Number,Counterparty_Currency,Transaction_purpose,Essential_Service_Sub_Category,Bill_Reference_Number,Transaction_ID,Partner_response,REMARKS,Fail_Reason
19/01/2022,08:36:15,ENS2022010500000721,20220190835000999,,ITRC-C,TC Recharge- Commission,Auto Reversal Success,rorocky2,100100022750,BTN,,0.36,9.00,,77999022,901200022622,200100000002,BTN,,,,PT220119083616135012171,,,
19/01/2022,09:21:40,ENS2022010500000816,82523531642562500176,,SD,,S-Success,,900500018317,BTN,Debit,,"9,000.00",BIPS,100100036634,900500018317,100100036634,BTN,,,,PT220119092140421019812,,,
19/01/2022,09:21:41,ENS2022010500000819,5941591642562500974,,IT,Internal Transfer,S-Success,liu,100100036634,BTN,Debit,,1.00,rorocky2,100100028651,100100036634,100100028651,BTN,,,,PT220119092141229012524,,,
19/01/2022,09:21:43,ENS2022010500000828,201909018840,,IQRC,QR Transfer Out,S-Success,liu,100100036634,BTN,Debit,,200.00,GEM TSHERING,9400940510036639,100100036634,900600018321,BTN,,,,PT220119092142846012375,F-Fail,,
19/01/2022,09:21:44,ENS2022010500000834,201909018841,,IQRC,QR Transfer Out,S-Success,rorocky2,100100028651,BTN,Debit,,2.00,liu,100100036634,100100028651,100100036634,BTN,,,,PT220119092144031015411,,,
19/01/2022,09:21:45,ENS2022010500000841,201909018842,,IIPC,BIPS Transfer Out,S-Success,liu,100100036634,BTN,Debit,,3.00,test for bips,567819944,100100036634,900500018317,BTN,,,,PT220119092145133016496,F-Fail,,
19/01/2022,09:21:47,ENS2022010500000849,1429060,,IC,BNBL e-ATM Cash Out-ATM,S-Success,liu,100100036634,BTN,Debit,,400.00,BNB,900400018302,100100036634,900400018302,BTN,,,,PT220119092147282017128,,,
19/01/2022,09:21:48,ENS2022010500000853,2022019092100003803,,BPC,BPC Bill Payment,S-Success,liu,100100036634,BTN,Debit,,500.00,,30086370,100100036634,200100000004,BTN,BPC transfer,A,B,PT220119092148331016539,F-Fail,C,
19/01/2022,09:21:49,ENS2022010500000853,2022019092100003803,,BPC,BPC Bill Payment,Auto Reversal Success,liu,100100036634,BTN,Credit,,500.00,,30086370,200100000004,100100036634,BTN,BPC transfer,A,B,PT220119092149572015666,,C,
19/01/2022,09:21:49,ENS2022010500000857,20220190921001001,,ITRC,TC Recharge,S-Success,liu,100100036634,BTN,Debit,,600.00,,77999022,100100036634,200100000002,BTN,,,,PT220119092149635017174,F-Fail,,
19/01/2022,09:21:49,ENS2022010500000857,20220190921001001,,ITRC-C,TC Recharge- Commission,S-Success,liu,100100036634,BTN,,24,600.00,,77999022,200100000002,901200022622,BTN,,,,PT220119092150532017100,F-Fail,,
19/01/2022,09:21:51,ENS2022010500000861,20220190921001002,,ITPP,TC Postpaid,S-Success,liu,100100036634,BTN,Debit,,700.00,,77999152,100100036634,200100000002,BTN,dd,ee,tt,PT220119092151066018124,F-Fail,2,
19/01/2022,09:21:52,ENS2022010500000864,2022019092105460,,IBRC,BT Recharge,S-Success,liu,100100036634,BTN,Debit,,800.00,,97577999029,100100036634,200100000001,BTN,Bhutan Telecom Limited, Mobile Prepaid,123456789,PT220119092152377018471,T-Timeout,test,
19/01/2022,09:21:52,ENS2022010500000864,2022019092105460,,IBRC-C,BT Recharge- Commission,S-Success,liu,100100036634,BTN,,32,800.00,,97577999029,200100000001,901000022611,BTN,Bhutan Telecom Limited, Mobile Prepaid,123456789,PT220119092153018013356,T-Timeout,test,
19/01/2022,09:21:53,ENS2022010500000866,22019092105461,,IBPP,BT Postpaid,S-Success,liu,100100036634,BTN,Debit,,900.00,,17113700,100100036634,200100000001,BTN,Mobile Postpaid,Mobile Postpaid,,PT220119092153558019256,F-Fail,yw,
19/01/2022,09:21:55,ENS2022010500000868,201909018843,,IQRC,QR Transfer Out,S-Success,rorocky2,100100028651,BTN,Debit,,2.00,liu,100100036634,100100028651,100100036634,BTN,,,,PT220119092154720019766,,,
19/01/2022,09:21:56,ENS2022010500000875,201909018844,,IIPC,BIPS Transfer Out,S-Success,liu,100100036634,BTN,Debit,,3.00,test for bips,567819944,100100036634,900500018317,BTN,,,,PT220119092155875019451,F-Fail,,
19/01/2022,09:21:58,ENS2022010500000883,2022019092100003804,,BPC,BPC Bill Payment,S-Success,liu,100100036634,BTN,Debit,,500.00,,30086370,100100036634,200100000004,BTN,BPC transfer,A,B,PT220119092158301013621,F-Fail,C,
19/01/2022,09:21:59,ENS2022010500000886,20220190921001003,,ITRC,TC Recharge,S-Success,liu,100100036634,BTN,Debit,,600.00,,77999022,100100036634,200100000002,BTN,,,,PT220119092159549018496,F-Fail,,
19/01/2022,09:21:59,ENS2022010500000886,20220190921001003,,ITRC-C,TC Recharge- Commission,S-Success,liu,100100036634,BTN,,24,600.00,,77999022,200100000002,901200022622,BTN,,,,PT220119092200852014569,F-Fail,,
19/01/2022,09:22:01,ENS2022010500000888,20220190922001004,,ITPP,TC Postpaid,S-Success,liu,100100036634,BTN,Debit,,700.00,,77999152,100100036634,200100000002,BTN,dd,ee,tt,PT220119092201422012090,F-Fail,2,
19/01/2022,09:22:03,ENS2022010500000891,2022019092205462,,IBRC,BT Recharge,S-Success,liu,100100036634,BTN,Debit,,800.00,,97577999029,100100036634,200100000001,BTN,Bhutan Telecom Limited, Mobile Prepaid,123456789,PT220119092202767013032,T-Timeout,test,
19/01/2022,09:22:03,ENS2022010500000891,2022019092205462,,IBRC-C,BT Recharge- Commission,S-Success,liu,100100036634,BTN,,32,800.00,,97577999029,200100000001,901000022611,BTN,Bhutan Telecom Limited, Mobile Prepaid,123456789,PT220119092203431014065,T-Timeout,test,
19/01/2022,09:22:04,ENS2022010500000893,22019092205463,,IBPP,BT Postpaid,S-Success,liu,100100036634,BTN,Debit,,900.00,,17113700,100100036634,200100000001,BTN,Mobile Postpaid,Mobile Postpaid,,PT220119092203946012162,F-Fail,yw,
19/01/2022,09:22:05,ENS2022010500000895,201909018845,,IQRC,QR Transfer Out,S-Success,rorocky2,100100028651,BTN,Debit,,2.00,liu,100100036634,100100028651,100100036634,BTN,,,,PT220119092205082013871,,,
19/01/2022,09:22:06,ENS2022010500000902,201909018846,,IIPC,BIPS Transfer Out,S-Success,liu,100100036634,BTN,Debit,,3.00,test for bips,567819944,100100036634,900500018317,BTN,,,,PT220119092206166018027,F-Fail,,
19/01/2022,09:22:08,,2022019092100003804,,BPC,BPC Bill Payment,Auto Reversal failed,liu,100100036634,BTN,Credit,,500.00,,30086370,200100000004,100100036634,BTN,BPC transfer,A,B,PT220119092207944017315,,C,CRES 
19/01/2022,09:22:09,ENS2022010500000911,2022019092200003805,,BPC,BPC Bill Payment,S-Success,liu,100100036634,BTN,Debit,,500.00,,30086370,100100036634,200100000004,BTN,BPC transfer,A,B,PT220119092208754018441,F-Fail,C,
19/01/2022,09:22:10,,20220190922001005,,ITRC,TC Recharge,F-Fail,liu,100100036634,BTN,Debit,,600.00,,77999022,100100036634,200100000002,BTN,,,,PT220119092210323016761,,,MB3006 Insufficient balance available!
19/01/2022,09:22:10,,20220190922001005,,ITRC-C,TC Recharge- Commission,F-Fail,liu,100100036634,BTN,,24,600.00,,77999022,200100000002,901200022622,BTN,,,,PT220119092210820017427,,,MB3006 Insufficient balance available!
19/01/2022,09:22:11,,20220190922001006,,ITPP,TC Postpaid,F-Fail,liu,100100036634,BTN,Debit,,700.00,,77999152,100100036634,200100000002,BTN,dd,ee,tt,PT220119092211380013970,,2,MB3006 Insufficient balance available!
19/01/2022,09:22:12,,2022019092205464,,IBRC-C,BT Recharge- Commission,F-Fail,liu,100100036634,BTN,,32,800.00,,97577999029,200100000001,901000022611,BTN,Bhutan Telecom Limited, Mobile Prepaid,123456789,PT220119092212946011086,,test,MB3006 Insufficient balance available!
19/01/2022,09:22:13,,2022019092205464,,IBRC,BT Recharge,F-Fail,liu,100100036634,BTN,Debit,,800.00,,97577999029,100100036634,200100000001,BTN,Bhutan Telecom Limited, Mobile Prepaid,123456789,PT220119092212473019336,,test,MB3006 Insufficient balance available!
19/01/2022,09:22:13,,22019092205465,,IBPP,BT Postpaid,F-Fail,liu,100100036634,BTN,Debit,,900.00,,17113700,100100036634,200100000001,BTN,Mobile Postpaid,Mobile Postpaid,,PT220119092213490014183,,yw,MB3006 Insufficient balance available!
19/01/2022,09:22:14,ENS2022010500000931,201909018847,,IQRC,QR Transfer Out,S-Success,rorocky2,100100028651,BTN,Debit,,2.00,liu,100100036634,100100028651,100100036634,BTN,,,,PT220119092214464015258,,,
19/01/2022,09:22:21,,20220190921001001,,ITRC,TC Recharge,Auto Reversal failed,liu,100100036634,BTN,Credit,,600.00,,77999022,200100000002,100100036634,BTN,,,,PT220119092220828013084,,,CRES 
19/01/2022,09:22:21,,20220190921001001,,ITRC-C,TC Recharge- Commission,Auto Reversal failed,liu,100100036634,BTN,,24,600.00,,77999022,901200022622,200100000002,BTN,,,,PT220119092221095018564,,,CRES 
19/01/2022,09:22:21,,2022019092200003805,,BPC,BPC Bill Payment,Auto Reversal failed,liu,100100036634,BTN,Credit,,500.00,,30086370,200100000004,100100036634,BTN,BPC transfer,A,B,PT220119092221484016476,,C,CRES 
19/01/2022,09:22:22,,20220190921001002,,ITPP,TC Postpaid,Auto Reversal failed,liu,100100036634,BTN,Credit,,700.00,,77999152,200100000002,100100036634,BTN,dd,ee,tt,PT220119092222060017692,,2,CRES 
19/01/2022,09:22:31,,20220190921001003,,ITRC,TC Recharge,Auto Reversal failed,liu,100100036634,BTN,Credit,,600.00,,77999022,200100000002,100100036634,BTN,,,,PT220119092231149014900,,,CRES 
19/01/2022,09:22:31,,20220190921001003,,ITRC-C,TC Recharge- Commission,Auto Reversal failed,liu,100100036634,BTN,,24,600.00,,77999022,901200022622,200100000002,BTN,,,,PT220119092231408019546,,,CRES 
19/01/2022,09:22:38,,20220190922001004,,ITPP,TC Postpaid,Auto Reversal failed,liu,100100036634,BTN,Credit,,700.00,,77999152,200100000002,100100036634,BTN,dd,ee,tt,PT220119092238333013576,,2,CRES 
19/01/2022,09:22:38,ENS2022010500000948,201909018848,,IIPC,BIPS Transfer Out,S-Success,liu,100100036634,BTN,Debit,,3.00,test for bips,567819944,100100036634,900500018317,BTN,,,,PT220119092238527016897,F-Fail,,
19/01/2022,09:22:41,,2022019092200003806,,BPC,BPC Bill Payment,F-Fail,liu,100100036634,BTN,Debit,,500.00,,30086370,100100036634,200100000004,BTN,BPC transfer,A,B,PT220119092241145018747,,C,MB3006 Insufficient balance available!
19/01/2022,09:22:42,,20220190922001007,,ITRC,TC Recharge,F-Fail,liu,100100036634,BTN,Debit,,600.00,,77999022,100100036634,200100000002,BTN,,,,PT220119092242212011746,,,MB3006 Insufficient balance available!
19/01/2022,09:22:42,,20220190922001007,,ITRC-C,TC Recharge- Commission,F-Fail,liu,100100036634,BTN,,24,600.00,,77999022,200100000002,901200022622,BTN,,,,PT220119092242686016077,,,MB3006 Insufficient balance available!
19/01/2022,09:22:43,,20220190922001008,,ITPP,TC Postpaid,F-Fail,liu,100100036634,BTN,Debit,,700.00,,77999152,100100036634,200100000002,BTN,dd,ee,tt,PT220119092243211013884,,2,MB3006 Insufficient balance available!
19/01/2022,09:22:44,,2022019092205466,,IBRC,BT Recharge,F-Fail,liu,100100036634,BTN,Debit,,800.00,,97577999029,100100036634,200100000001,BTN,Bhutan Telecom Limited, Mobile Prepaid,123456789,PT220119092244309019248,,test,MB3006 Insufficient balance available!
19/01/2022,09:22:44,,2022019092205466,,IBRC-C,BT Recharge- Commission,F-Fail,liu,100100036634,BTN,,32,800.00,,97577999029,200100000001,901000022611,BTN,Bhutan Telecom Limited, Mobile Prepaid,123456789,PT220119092244782018492,,test,MB3006 Insufficient balance available!
19/01/2022,09:22:45,,22019092205467,,IBPP,BT Postpaid,F-Fail,liu,100100036634,BTN,Debit,,900.00,,17113700,100100036634,200100000001,BTN,Mobile Postpaid,Mobile Postpaid,,PT220119092245287015038,,yw,MB3006 Insufficient balance available!
19/01/2022,09:22:46,ENS2022010500000977,201909018849,,IQRC,QR Transfer Out,S-Success,rorocky2,100100028651,BTN,Debit,,2.00,liu,100100036634,100100028651,100100036634,BTN,,,,PT220119092246279013399,,,
19/01/2022,09:22:47,ENS2022010500000984,201909018850,,IIPC,BIPS Transfer Out,S-Success,liu,100100036634,BTN,Debit,,3.00,test for bips,567819944,100100036634,900500018317,BTN,,,,PT220119092247344015256,F-Fail,,
19/01/2022,09:22:49,,2022019092200003807,,BPC,BPC Bill Payment,F-Fail,liu,100100036634,BTN,Debit,,500.00,,30086370,100100036634,200100000004,BTN,BPC transfer,A,B,PT220119092249543018111,,C,MB3006 Insufficient balance available!
19/01/2022,09:22:51,,20220190922001009,,ITRC,TC Recharge,F-Fail,liu,100100036634,BTN,Debit,,600.00,,77999022,100100036634,200100000002,BTN,,,,PT220119092250662011193,,,MB3006 Insufficient balance available!
19/01/2022,09:22:51,,20220190922001009,,ITRC-C,TC Recharge- Commission,F-Fail,liu,100100036634,BTN,,24,600.00,,77999022,200100000002,901200022622,BTN,,,,PT220119092251132016237,,,MB3006 Insufficient balance available!
19/01/2022,09:22:52,,20220190922001010,,ITPP,TC Postpaid,F-Fail,liu,100100036634,BTN,Debit,,700.00,,77999152,100100036634,200100000002,BTN,dd,ee,tt,PT220119092251651017641,,2,MB3006 Insufficient balance available!
19/01/2022,09:22:53,,2022019092205468,,IBRC,BT Recharge,F-Fail,liu,100100036634,BTN,Debit,,800.00,,97577999029,100100036634,200100000001,BTN,Bhutan Telecom Limited, Mobile Prepaid,123456789,PT220119092252701013213,,test,MB3006 Insufficient balance available!
19/01/2022,09:22:53,,2022019092205468,,IBRC-C,BT Recharge- Commission,F-Fail,liu,100100036634,BTN,,32,800.00,,97577999029,200100000001,901000022611,BTN,Bhutan Telecom Limited, Mobile Prepaid,123456789,PT220119092253159016840,,test,MB3006 Insufficient balance available!
19/01/2022,09:22:54,,22019092205469,,IBPP,BT Postpaid,F-Fail,liu,100100036634,BTN,Debit,,900.00,,17113700,100100036634,200100000001,BTN,Mobile Postpaid,Mobile Postpaid,,PT220119092253658016547,,yw,MB3006 Insufficient balance available!
19/01/2022,09:22:55,ENS2022010500001011,20210523${seqno}1642562574329,,LD,Loan Disbursement-Laptop Loan,S-Success,,500300001489,BTN,Debit,,"43,000.00",Laptop Loan routine account new,901600022420,500300001489,901600022420,BTN,,,,PT220119092254581017547,,,
19/01/2022,09:23:01,,22019092105461,,IBPP,BT Postpaid,Auto Reversal failed,liu,100100036634,BTN,Credit,,900.00,,17113700,200100000001,100100036634,BTN,Mobile Postpaid,Mobile Postpaid,,PT220119092301447015106,,yw,CRES 
19/01/2022,09:23:05,,22019092205463,,IBPP,BT Postpaid,Auto Reversal failed,liu,100100036634,BTN,Credit,,900.00,,17113700,200100000001,100100036634,BTN,Mobile Postpaid,Mobile Postpaid,,PT220119092304898017744,,yw,CRES 
19/01/2022,11:50:01,ENS2022010600000431,AP211222121903663017250004,,IT,Internal Transfer,S-Success,yuyu,100100029977,BTN,Debit,,100.00,yuyu,100100030344,100100029977,100100030344,BTN,scheduled payment,A,B,PT220119115000614011868,,C,
19/01/2022,11:50:01,,AP211214135624788013566007,,IT,Internal Transfer,F-Fail,rorocky2,100100022750,BTN,Debit,,19.99,rorocky2,100100022768,100100022750,100100022768,BTN,YYYY,SSSS,GGGG,PT220119115000623012564,,wwww,RB6002 Account[***]Has been restricted(Block All Financial Transaction)!
19/01/2022,11:50:01,ENS2022010600000430,AP211126164842326014799002,,IT,Internal Transfer,S-Success,Peeka Tashi5,100100030478,BTN,Debit,,10.00,Dhondu Pem2,100100030494,100100030478,100100030494,BTN,Dhondu Pem2,Family & Friends,,PT220119115000614014895,,,
19/01/2022,11:50:01,ENS2022010600000433,AP220119092256229015421001,,IT,,S-Success,liu,100100036634,BTN,Debit,,500.00,rorocky2,100100028651,100100036634,100100028651,BTN,,,,PT220119115000616019818,,input,
19/01/2022,11:50:01,ENS2022010600000429,AP211029094855440019600002,,IT,Internal Transfer,S-Success,OC UAT TestName84,100100022832,BTN,Debit,,4.00,Degio91,100100023411,100100022832,100100023411,BTN,Degio91,Family & Friends,,PT220119115000638019641,,kkkk,
19/01/2022,11:50:01,ENS2022010600000436,201911018851,,IIPC,BIPS Transfer Out,S-Success,Dema97,100100022891,BTN,Debit,,5.00,,646454245484,100100022891,900500018317,BTN,,Others,,PT220119115000635016751,F-Fail,,
19/01/2022,11:50:01,ENS2022010600000434,AP211002162907276016484002,,IT,Internal Transfer,S-Success,OC UAT TestName96,100100029950,BTN,Debit,,2.00,OC UAT TestName84,100100022832,100100029950,100100022832,BTN,OC UAT TestName84,Family & Friends,,PT220119115000649011906,,,
19/01/2022,11:50:02,,AP211214141452305016243007,,IT,Internal Transfer,F-Fail,rorocky2,100100022750,BTN,Debit,,19.99,rorocky2,100100022768,100100022750,100100022768,BTN,YYYY,SSSS,GGGG,PT220119115001637012125,,wwww,RB6002 Account[***]Has been restricted(Block All Financial Transaction)!
19/01/2022,11:50:02,ENS2022010600000450,AP211126165427298014118002,,IT,Internal Transfer,S-Success,Peeka Tashi5,100100030478,BTN,Debit,,12.00,Dhondu Pem11,100100030518,100100030478,100100030518,BTN,Dhondu Pem11,Family & Friends,,PT220119115001784016574,,,
19/01/2022,11:50:02,ENS2022010600000451,AP211231132255792017901002,,IT,Internal Transfer,S-Success,yuyu,100100029977,BTN,Debit,,200.00,yiyi,200200036530,100100029977,200200036530,BTN,scheduled payment,A,B,PT220119115001854018095,,C,
19/01/2022,11:50:03,,AP211214142029936017935007,,IT,Internal Transfer,F-Fail,rorocky2,100100022750,BTN,Debit,,19.99,rorocky2,100100022768,100100022750,100100022768,BTN,YYYY,SSSS,GGGG,PT220119115002608014613,,wwww,RB6002 Account[***]Has been restricted(Block All Financial Transaction)!
19/01/2022,11:50:03,ENS2022010600000473,AP211126165552322015235002,,IT,Internal Transfer,S-Success,Peeka Tashi5,100100030478,BTN,Debit,,21.00,Dhondu Pem10,100100030395,100100030478,100100030395,BTN,Dhondu Pem10,Family & Friends,,PT220119115003011011480,,,
19/01/2022,11:50:04,,AP211227125426594013754004,,IT,Internal Transfer,F-Fail,rorocky2,100100022750,BTN,Debit,,39.99,rorocky2,100100022768,100100022750,100100022768,BTN,YYYY,SSSS,GGGG,PT220119115003693017478,,wwww,RB6002 Account[***]Has been restricted(Block All Financial Transaction)!
19/01/2022,11:50:04,ENS2022010600000502,201911018852,,IIPC,BIPS Transfer Out,S-Success,Peeka Tashi5,100100030478,BTN,Debit,,124.00,,100640334,100100030478,900500018317,BTN,Bank of Bhutan,Others,,PT220119115004043014000,F-Fail,,
19/01/2022,12:45:32,ENS2022010600000567,96405822062592000,,IT,,S-Success,100100021378,900500018317,BTN,Debit,,166.00,werwe,200200036648,900500018317,200200036648,BTN,,,,PT220119124531804019149,,ggg,
19/01/2022,13:00:41,ENS2022010600000583,96409635100164096,,IT,,S-Success,100100021378,900500018317,BTN,Debit,,90.00,Degio115,100100036626,900500018317,100100036626,BTN,,,,PT220119130040902016203,,dfhg,
19/01/2022,13:00:41,ENS2022010600000583,96409635100164096,,IT,,S-Success,100100021378,900500018317,BTN,Debit,,110.00,dawangba,100100036220,900500018317,100100036220,BTN,,,,PT220119130040902016203,,dfhg,
19/01/2022,13:27:20,ENS2022010600000601,96416343474176000,,IT,,S-Success,100100021378,900500018317,BTN,Credit,,10.00,dawangba,100100036220,100100036220,900500018317,BTN,,,,PT220119132720306018268,,dsfsd,
19/01/2022,13:27:20,ENS2022010600000601,96416343474176000,,IT,,S-Success,100100021378,900500018317,BTN,Credit,,18.00,Degio115,100100036626,100100036626,900500018317,BTN,,,,PT220119132720306018268,,dsfsd,
19/01/2022,13:36:48,ENS2022010600000775,83444361642577808567,,SD,,S-Success,,900500018317,BTN,Debit,,1.00,BIPS,100100036669,900500018317,100100036669,BTN,,,,PT220119133648790013679,,,
19/01/2022,13:36:49,ENS2022010600000778,52563951642577809351,,IT,Internal Transfer,S-Success,liu,100100036669,BTN,Debit,,1.00,rorocky2,100100028651,100100036669,100100028651,BTN,,,,PT220119133649590011743,,,
19/01/2022,13:57:53,,87578441642579050300,,SD,,F-Fail,,900500018317,BTN,Debit,,1.00,BIPS,100100036634,900500018317,100100036634,BTN,,,,PT220119135753513012084,,,RB6002 Account[***]Has been restricted(Block All Financial Transaction)!
19/01/2022,14:01:27,,96424926135844864,,IT,Internal Transfer-ICMS,F-Fail,100100021378,900500018317,BTN,Debit,,1.00,liu,100100036634,900500018317,100100036634,BTN,,,,PT220119140126576014325,,,RB6002 Account[***]Has been restricted(Block All Financial Transaction)!
19/01/2022,14:01:27,,96424926135844864,,IT,Internal Transfer-ICMS,F-Fail,100100021378,900500018317,BTN,Debit,,2.00,yi,100100029348,900500018317,100100029348,BTN,,,,PT220119140126576014325,,,RB6002 Account[***]Has been restricted(Block All Financial Transaction)!
19/01/2022,14:01:27,,96424926135844864,,IT,Internal Transfer-ICMS,F-Fail,100100021378,900500018317,BTN,Debit,,3.00,yi,100100029230,900500018317,100100029230,BTN,,,,PT220119140126576014325,,,RB6002 Account[***]Has been restricted(Block All Financial Transaction)!
19/01/2022,14:02:53,,96425289488400384,,IT,Internal Transfer-ICMS,F-Fail,100100021378,900500018317,BTN,Credit,,10.00,liu,100100036634,100100036634,900500018317,BTN,,,,PT220119140253198014026,,,RB6002 Account[***]Has been restricted(Block All Financial Transaction)!
19/01/2022,14:02:53,,96425289488400384,,IT,Internal Transfer-ICMS,F-Fail,100100021378,900500018317,BTN,Credit,,20.00,yi,100100029348,100100029348,900500018317,BTN,,,,PT220119140253198014026,,,RB6002 Account[***]Has been restricted(Block All Financial Transaction)!
19/01/2022,14:02:53,,96425289488400384,,IT,Internal Transfer-ICMS,F-Fail,100100021378,900500018317,BTN,Credit,,30.00,yi,100100029230,100100029230,900500018317,BTN,,,,PT220119140253198014026,,,RB6002 Account[***]Has been restricted(Block All Financial Transaction)!
19/01/2022,14:04:00,ENS2022010600000889,0318305ba4a94702853cc7467d7b2832,,PD,Pay roll,S-Success,100100021378,900500018317,BTN,Debit,,4.00,Degio115,100100036626,900500018317,100100036626,BTN,,,,0318305ba4a94702853cc7467d7b2832,,,
19/01/2022,14:04:00,ENS2022010600000892,4f79e1390a7748c98a73b5d6a17855de,,PD,Pay roll,S-Success,100100021378,900500018317,BTN,Debit,,1.00,werwe,200200036648,900500018317,200200036648,BTN,,,,4f79e1390a7748c98a73b5d6a17855de,,,
19/01/2022,14:04:00,ENS2022010600000895,88f540cc70d244c9b15363b28fd026db,,PD,Pay roll,S-Success,100100021378,900500018317,BTN,Debit,,3.00,dawangba,100100036254,900500018317,100100036254,BTN,,,,88f540cc70d244c9b15363b28fd026db,,,
19/01/2022,14:04:00,ENS2022010600000898,9bc0075866164d17a950fb15672c416e,,PD,Pay roll,S-Success,100100021378,900500018317,BTN,Debit,,2.00,Degio115,100100036626,900500018317,100100036626,BTN,,,,9bc0075866164d17a950fb15672c416e,,,
19/01/2022,14:07:53,ENS2022010600000883,84080321642579649769,,SD,,S-Success,,900500018317,BTN,Debit,,1.10,BIPS,100100029348,900500018317,100100029348,BTN,,,,PT220119140753227012964,,,
19/01/2022,14:07:54,,52935491642579673899,,IT,Internal Transfer,F-Fail,liu,100100029348,BTN,Debit,,2.10,rorocky2,100100028651,100100029348,100100028651,BTN,,,,PT220119140754142011917,,,RB6174 Account[***]Has been restricted(Post No Debit)!
19/01/2022,14:33:27,ENS2022010600000978,96432983452549120,,IT,Internal Transfer-ICMS,S-Success,100100021378,900500018317,BTN,Debit,,1.50,liu,100100036634,900500018317,100100036634,BTN,,,,PT220119143327585015441,,,
19/01/2022,14:33:27,ENS2022010600000978,96432983452549120,,IT,Internal Transfer-ICMS,S-Success,100100021378,900500018317,BTN,Debit,,2.50,yi,100100029348,900500018317,100100029348,BTN,,,,PT220119143327585015441,,,
19/01/2022,14:33:27,ENS2022010600000978,96432983452549120,,IT,Internal Transfer-ICMS,S-Success,100100021378,900500018317,BTN,Debit,,3.00,yi,100100029230,900500018317,100100029230,BTN,,,,PT220119143327585015441,,,
