institution,product_type,gl_code,gl_desc,currency,account_number,account_name,customer_number,customer_name,phone_number,customer_type,balance_direction,whether_to_pay_interest,whether_to_allow_overdraft,balance_update_type,account_status,opponent_account,account_opening_date,date_of_expiry,value_date,account_balance,write_off_suspense,term_of_suspense,write_off_mode,national_id,business_license
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036551,liu,1000003456,liu,63752148,Individual,credit.C,interest,notAllowed,,Active,,04/01/2022,,04/01/2022,"1,000.65",,,,128081473,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036859,Dema Lhamo1,1000003487,Dema Lhamo1,17265732,Individual,credit.C,interest,notAllowed,,Active,,08/01/2022,,08/01/2022,"2,000.27",,,,11180058455,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036816,Lhaka Dorji1,1000003483,Lhaka Dorji1,77012675,Individual,credit.C,interest,notAllowed,,New,,08/01/2022,,08/01/2022,0.00,,,,10800000070,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036560,liu,1000003457,liu,63659145,Individual,credit.C,interest,notAllowed,,CLose,,04/01/2022,,04/01/2022,0.00,,,,826694360,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036867,Dan Gurung2,1000003488,Dan Gurung2,17559492,Individual,credit.C,interest,notAllowed,,Active,,08/01/2022,,08/01/2022,"99,993.37",,,,11100058456,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036824,Pem Zangmo4,1000003484,Pem Zangmo4,17156334,Individual,credit.C,interest,notAllowed,,New,,08/01/2022,,08/01/2022,0.00,,,,10400000030,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036460,liu,1000003446,liu,63853550,Individual,credit.C,interest,notAllowed,,Active,,03/01/2022,,03/01/2022,1.00,,,,381800596,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036669,liu,1000003466,liu,63341076,Individual,credit.C,interest,notAllowed,,CLose,,06/01/2022,,06/01/2022,0.00,,,,12148217797,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036600,liu,1000003459,liu,63879740,Individual,credit.C,interest,notAllowed,,Active,,04/01/2022,,04/01/2022,"1,000.65",,,,674786503,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036875,Dema Lhamo2,1000003489,Dema Lhamo2,17968463,Individual,credit.C,interest,notAllowed,,New,,08/01/2022,,08/01/2022,0.00,,,,11280058445,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036832,Pem Zangmo2,1000003485,Pem Zangmo2,17156399,Individual,credit.C,interest,notAllowed,,Active,,08/01/2022,,08/01/2022,2.00,,,,10200000010,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036479,liu,1000003447,liu,63455199,Individual,credit.C,interest,notAllowed,,Active,,03/01/2022,,03/01/2022,1.00,,,,250647717,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036685,yi,1000003467,yi,63507218,Individual,credit.C,interest,notAllowed,,Active,,06/01/2022,,06/01/2022,"50,020.06",,,,12107874759,
8888-DK,2001-DK Essential Services Account,20100101,DK Essential Services Account,BTN,200100036577,yiyi,2000003453,yiyi,17302947,Merchant,credit.C,noInterest,notAllowed,,New,,04/01/2022,,,0.00,,,,,1729842
8888-DK,2002-DK Business Account,20100102,DK Business Account,BTN,200200036798,DUMMY MERCHANT4,2000003481,Pem Dem2,17756398,Merchant,credit.C,noInterest,notAllowed,,Active,,08/01/2022,,,"179,076.00",,,,,R9991105
8888-DK,2002-DK Business Account,20100102,DK Business Account,BTN,200200038063,DUMMY MERCHANT5,2000003605,DUMMY MERCHANT5,77775311,Merchant,credit.C,noInterest,notAllowed,,Active,,09/01/2022,,,"101,780.00",,,,,R9990015
8888-DK,2002-DK Business Account,20100102,DK Business Account,BTN,200200038098,DUMMY MERCHANT98,2000003608,DUMMY MERCHANT98,17919999,Merchant,credit.C,noInterest,notAllowed,,New,,09/01/2022,,,0.00,,,,,R9990011
8888-DK,2002-DK Business Account,20100102,DK Business Account,BTN,200200038138,{clientName},2000003612,aaaao,17423011,Merchant,credit.C,noInterest,notAllowed,,New,,09/01/2022,,,0.00,,,,,720091
8888-DK,2002-DK Business Account,20100102,DK Business Account,BTN,200200036648,werwe,2000003463,werwe,25688958,Merchant,credit.C,noInterest,notAllowed,,Active,,06/01/2022,,,667.00,,,,,1252525
8888-DK,2002-DK Business Account,20100102,DK Business Account,BTN,200200038146,A Mart137,2000003613,A Mart137,17302118,Merchant,credit.C,noInterest,notAllowed,,New,,09/01/2022,,,0.00,,,,,R1000137
8888-DK,2002-DK Business Account,20100102,DK Business Account,BTN,200200036530,yiyi,2000003452,yiyi,77312932,Merchant,credit.C,noInterest,notAllowed,,Active,,04/01/2022,,,"4,000.00",,,,,1732942
8888-DK,2002-DK Business Account,20100102,DK Business Account,BTN,200200036771,DUMMY MERCHANT,2000003479,DUMMY MERCHANT,77446317,Merchant,credit.C,noInterest,notAllowed,,Active,,08/01/2022,,,"100,099.00",,,,,R9997702
8888-DK,2002-DK Business Account,20100102,DK Business Account,BTN,200200036780,DUMMY MERCHANT12,2000003480,Pem Dem1,77555555,Merchant,credit.C,noInterest,notAllowed,,Active,,08/01/2022,,,"99,441.00",,,,,R9990004
8888-DK,3001-DK Corporate PayRoll Account,20100301,DK Corporate Pay Roll Saving Account,BTN,300100036675,hhha,2000003465,hhha,12052638,Merchant,credit.C,noInterest,notAllowed,,New,,06/01/2022,,,0.00,,,,,5289654
8888-DK,3001-DK Corporate PayRoll Account,20100301,DK Corporate Pay Roll Saving Account,BTN,300100036584,jiu,2000003458,jiu,56986524,Merchant,credit.C,noInterest,notAllowed,,Active,,04/01/2022,,,500.00,,,,,5696355
,,,,,,,,,,,,,,,,,,,Total:,"14,114,510.17",,,,,
